Size,Number Of Revisions(numNR),Number Of DefectFixes(NumFix),Number Of Comment Lines In Class,totalInvokedClasses,Number Of Methods,Number Of Java Imports, Number Of Api Imports,Number Of Package Imports,Number Of Authors (numAuth),CHURN value,CHURN MAX,CHURN Averange,LOC touched value,LOC added MAX,LOC added Averange,LOC deleted MAX,LOC deleted Averange,Is Buggy 
24,1,0,1,0,0,0,0,0,1,1,1,1.0,1,1,1.0,0,1.0,NO
25,1,0,2,0,0,0,0,0,1,1,1,1.0,1,1,1.0,0,1.0,NO
341,2,1,22,8,19,10,13,1,1,3,2,1.5,7,3,2.5,1,2.5,NO
728,4,1,40,26,52,12,18,0,1,44,22,11.0,70,23,9.25,32,9.25,YES
24,1,0,1,0,0,0,0,0,1,1,1,1.0,1,1,1.0,0,1.0,NO
218,1,0,24,7,8,8,8,4,1,1,1,1.0,3,2,2.0,1,2.0,YES
206,2,1,19,7,4,11,11,5,1,14,13,7.0,16,13,7.5,1,7.5,YES
34,1,0,2,0,3,3,3,0,1,3,3,3.0,5,4,4.0,1,4.0,NO
36,2,1,6,0,0,1,1,0,1,1,1,0.5,11,3,3.0,3,3.0,NO
36,2,0,5,0,0,0,0,0,1,1,1,0.5,3,1,1.0,1,1.0,NO
26,1,0,3,0,0,0,0,1,1,27,27,27.0,27,27,27.0,0,27.0,NO
428,3,0,18,6,33,6,6,7,1,150,145,50.0,178,155,54.666666666666664,10,54.666666666666664,YES
462,4,1,13,4,26,6,7,8,1,1,1,0.25,21,5,2.75,5,2.75,YES
191,3,1,3,1,14,5,5,6,1,75,68,25.0,101,11,6.666666666666667,79,6.666666666666667,YES
24,1,0,3,0,0,0,0,0,1,0,0,0.0,2,1,1.0,1,1.0,NO
24,2,0,2,0,0,1,1,0,1,6,5,3.0,10,2,1.5,6,1.5,NO
57,1,0,2,1,3,1,3,7,1,1,1,1.0,1,1,1.0,0,1.0,NO
54,1,0,5,0,3,1,1,6,1,1,1,1.0,1,1,1.0,0,1.0,NO
192,3,0,9,4,4,3,3,4,1,192,190,64.0,370,190,93.66666666666667,88,93.66666666666667,NO
300,2,0,3,5,27,4,4,3,1,1,1,0.5,5,2,1.5,1,1.5,NO
250,1,0,3,2,22,3,3,2,1,1,1,1.0,5,3,3.0,2,3.0,NO
627,2,1,30,5,29,5,5,3,1,6,5,3.0,10,5,4.0,2,4.0,NO
37,0,0,2,0,0,1,1,1,0,0,0,0.0,0,0,0.0,0,0.0,NO
35,1,0,2,0,0,1,1,1,1,1,1,1.0,1,1,1.0,0,1.0,NO
279,3,0,4,1,1,3,3,1,1,7,7,2.3333333333333335,17,3,1.6666666666666667,10,1.6666666666666667,NO
274,1,0,2,1,3,3,3,1,1,0,0,0.0,2,1,1.0,1,1.0,NO
398,3,0,2,4,29,3,6,6,1,401,397,133.66666666666666,433,397,138.66666666666666,9,138.66666666666666,NO
240,3,0,2,6,21,4,7,6,1,243,239,81.0,255,239,82.66666666666667,4,82.66666666666667,YES
74,2,0,1,1,2,1,1,4,1,75,74,37.5,75,74,37.5,0,37.5,NO
69,3,0,2,1,2,2,2,1,1,70,52,23.333333333333332,70,52,23.333333333333332,0,23.333333333333332,NO
203,2,0,2,4,8,2,2,4,1,21,20,10.5,163,71,36.0,91,36.0,NO
229,2,0,1,2,24,3,3,6,1,130,129,65.0,280,75,38.0,204,38.0,NO
202,2,0,2,4,21,4,4,6,1,24,23,12.0,186,81,41.0,104,41.0,NO
102,2,0,1,2,2,2,2,2,1,103,102,51.5,103,102,51.5,0,51.5,YES
144,2,0,3,1,6,2,2,1,1,145,144,72.5,149,144,73.5,2,73.5,YES
337,3,0,7,5,5,4,4,3,1,338,337,112.66666666666667,340,337,113.0,1,113.0,NO
94,2,0,1,0,0,1,1,0,1,95,94,47.5,99,94,48.5,2,48.5,NO
382,2,0,11,12,12,5,10,0,1,383,382,191.5,383,382,191.5,0,191.5,YES
138,3,0,2,2,4,3,3,2,1,139,138,46.333333333333336,141,138,46.666666666666664,1,46.666666666666664,NO
40,1,0,2,0,1,1,1,0,1,1,1,1.0,1,1,1.0,0,1.0,NO
86,1,0,5,1,4,5,5,0,1,1,1,1.0,3,2,2.0,1,2.0,NO
90,1,0,4,0,5,5,5,0,1,4,4,4.0,10,7,7.0,3,7.0,NO
149,1,0,1,0,3,3,3,1,1,149,149,149.0,149,149,149.0,0,149.0,NO
74,1,0,1,0,7,0,0,0,1,74,74,74.0,74,74,74.0,0,74.0,NO
231,2,0,17,11,8,7,9,13,1,49,48,24.5,59,53,27.0,5,27.0,NO
221,2,0,11,12,3,8,10,13,1,48,36,24.0,68,40,29.0,6,29.0,NO
110,1,0,2,6,4,6,8,0,1,1,1,1.0,3,2,2.0,1,2.0,NO
94,1,0,5,0,3,6,8,0,1,2,2,2.0,6,4,4.0,2,4.0,NO
42,1,0,2,0,1,3,3,0,1,1,1,1.0,5,3,3.0,2,3.0,NO
36,2,1,2,0,0,5,5,0,1,7,4,3.5,13,6,5.0,2,5.0,NO
304,4,2,14,6,10,12,14,11,1,61,27,15.25,125,40,23.25,14,23.25,YES
117,3,2,2,2,7,3,3,3,1,6,3,2.0,22,6,3.6666666666666665,8,3.6666666666666665,YES
65,7,4,1,1,3,1,1,4,1,34,14,4.857142857142857,62,16,4.285714285714286,18,4.285714285714286,YES
113,4,1,5,3,4,5,5,9,1,29,16,7.25,39,18,8.5,3,8.5,NO
128,3,1,5,3,5,5,5,11,1,5,4,1.6666666666666667,9,5,2.3333333333333335,1,2.3333333333333335,YES
105,1,0,6,3,6,5,10,1,1,1,1,1.0,5,3,3.0,2,3.0,NO
28,1,0,2,0,1,2,2,0,1,1,1,1.0,1,1,1.0,0,1.0,NO
287,4,0,17,7,13,6,8,3,1,19,11,4.75,27,12,5.75,1,5.75,YES
70,2,0,5,1,3,1,1,3,1,71,67,35.5,83,67,38.5,6,38.5,YES
47,2,1,2,0,3,0,0,2,1,0,0,0.0,4,1,1.0,1,1.0,YES
35,2,1,2,0,1,0,0,2,1,0,0,0.0,4,1,1.0,1,1.0,NO
40,2,0,2,0,2,0,0,2,1,1,1,0.5,3,1,1.0,1,1.0,YES
28,1,0,2,0,0,0,0,2,1,1,1,1.0,1,1,1.0,0,1.0,NO
27,2,0,1,0,0,0,0,1,1,2,1,1.0,6,2,1.5,3,1.5,NO
71,2,0,2,0,3,0,0,1,1,8,7,4.0,18,12,6.5,5,6.5,YES
80,5,2,5,3,0,2,2,6,1,25,13,5.0,47,13,7.2,7,7.2,NO
40,2,1,2,2,0,0,0,4,1,0,0,0.0,4,1,1.0,1,1.0,YES
87,2,0,2,2,6,1,1,1,1,7,5,3.5,17,8,6.0,3,6.0,NO
