Class Name,Release ID, Size, Number Of Revisions(numNR),Number Of DefectFixes(NumFix),Number Of Comment Lines In Class,totalInvokedClasses,Number Of Methods,Number Of Java Imports, Number Of Api Imports,Number Of Package Imports,Number Of Authors (numAuth),CHURN value, CHURN MAX, CHURN Averange,LOC touched value,LOC added MAX,LOC added Averange,LOC deleted MAX,LOC deleted Averange,Is Buggy 
bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,1,137,4,0,5,3,4,6,3,2,2,139,137,34.75,333,137,58.75,94,58.75,NO
bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,1,244,5,0,2,4,9,5,3,7,2,262,252,52.4,436,252,68.0,64,68.0,NO
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,1,1026,14,0,69,22,41,21,8,5,3,1026,545,73.28571428571429,1466,545,89.0,81,89.0,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,1,92,3,0,1,3,4,1,0,0,3,92,81,30.666666666666668,150,81,40.333333333333336,29,40.333333333333336,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,1,180,4,0,10,1,6,3,0,0,2,180,168,45.0,210,168,48.75,12,48.75,NO
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,1,471,9,0,45,13,16,17,2,2,3,551,487,61.22222222222222,795,487,70.33333333333333,104,70.33333333333333,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,1,204,5,0,4,1,10,5,2,0,3,204,124,40.8,216,124,42.0,2,42.0,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,1,551,7,0,32,12,19,12,2,2,3,557,536,79.57142857142857,691,536,88.71428571428571,26,88.71428571428571,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,1,149,5,0,2,2,11,2,2,0,3,149,133,29.8,187,133,33.6,14,33.6,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,1,157,3,0,1,4,23,2,0,0,3,157,151,52.333333333333336,171,151,54.666666666666664,6,54.666666666666664,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,1,147,1,0,18,0,17,7,0,0,1,147,147,147.0,147,147,147.0,0,147.0,NO
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,1,137,5,0,1,0,8,1,0,0,3,141,126,28.2,401,126,53.8,113,53.8,YES
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,1,271,4,0,1,18,4,1,0,0,3,271,249,67.75,289,249,70.0,8,70.0,NO
