ID,Size,Predicted %,Actual value
0,215,0.68,NO
1,273,0.94,YES
2,460,0.87,YES
3,138,0.88,NO
4,358,0.95,NO
5,1154,0.74,YES
6,51,0.19,NO
7,157,0.74,NO
8,31,0.0,NO
9,1009,0.8,YES
10,193,0.04,NO
11,83,0.97,NO
12,262,0.84,YES
13,638,0.28,NO
14,40,0.62,NO
15,374,0.95,NO
16,390,0.05,NO
17,51,0.83,YES
18,579,0.0,NO
19,32,0.29,NO
20,66,0.72,YES
21,260,0.69,YES
22,596,0.81,YES
23,198,0.06,NO
24,50,0.07,NO
25,27,0.88,YES
26,926,0.24,NO
27,60,0.3,NO
28,62,0.7183333333333333,NO
29,87,0.24,NO
30,52,0.63,YES
31,297,0.14,NO
32,163,0.22,NO
33,118,0.48,NO
34,83,0.28,NO
35,147,0.29,NO
36,58,0.64,YES
37,44,0.32799999999999996,NO
38,106,0.54,YES
39,192,0.89,YES
40,151,0.95,YES
41,352,0.88,YES
42,752,0.16,NO
43,877,0.57,NO
44,319,0.17333333333333337,NO
45,27,0.59,YES
46,55,0.6,NO
47,94,0.405,NO
48,191,0.335,NO
49,90,0.18333333333333335,NO
50,90,0.61,YES
51,271,0.87,YES
52,138,0.87,YES
53,79,0.61,YES
54,82,0.77,NO
55,147,0.52,NO
56,422,0.33,YES
57,1026,0.79,YES
58,530,0.564,YES
59,189,0.42,NO
60,167,0.36,NO
61,86,0.06,NO
62,195,0.43,NO
63,374,0.71,YES
64,573,0.79,YES
65,126,0.01,NO
66,106,0.5555,NO
67,109,0.82,YES
68,85,0.65,YES
69,237,0.5,NO
70,345,0.58,YES
71,47,0.5,NO
72,781,0.45,NO
73,27,0.55,YES
74,89,0.6,NO
75,300,0.21,NO
76,166,0.87,YES
77,92,0.86,YES
78,497,0.28900000000000003,NO
79,93,0.44,NO
80,244,0.64,YES
81,183,0.72,NO
82,252,0.55,NO
83,109,0.22666666666666668,NO
84,607,0.0,NO
85,565,0.5983333333333333,NO
86,69,0.02,NO
87,77,0.06,NO
88,97,0.38,NO
89,343,0.28,NO
90,214,0.16,NO
91,79,0.59,NO
92,25,0.51,NO
93,84,0.31,NO
94,34,0.86,YES
95,33,0.71,NO
96,104,0.57,NO
97,172,0.57,NO
98,70,0.63,NO
99,140,0.79,YES
100,156,0.84,NO
101,142,0.28,NO
102,152,0.26,NO
103,31,0.64,NO
104,60,0.98,YES
105,60,0.17,NO
106,876,0.59,NO
107,61,0.93,YES
108,185,0.69,YES
109,264,0.63,YES
110,248,0.81,NO
111,286,0.15,NO
112,185,0.17,NO
113,194,0.58,YES
114,346,0.41,NO
115,309,0.45,NO
116,363,0.38,NO
117,84,0.19,NO
118,53,0.4,NO
119,132,0.34833333333333333,NO
120,4088,0.83,NO
121,721,0.25333333333333335,NO
122,47,0.97,NO
123,101,0.22,NO
124,517,0.02,YES
125,327,0.54,YES
126,274,0.21,NO
127,136,0.03,NO
128,56,0.5,NO
129,74,0.0,NO
130,361,0.36,NO
131,174,0.01,NO
132,148,0.63,YES
133,92,0.126,NO
134,45,0.03,NO
135,168,0.71,NO
136,77,0.57,NO
137,666,0.62,NO
138,88,0.45,NO
139,263,0.31,NO
140,54,0.34,NO
141,51,0.66,NO
142,132,0.19,NO
143,160,0.82,NO
144,152,0.48,NO
145,39,0.63,NO
146,677,0.0,NO
147,131,0.87,NO
148,47,0.68,NO
149,129,0.84,NO
150,43,0.73,NO
151,257,0.75,NO
152,356,0.92,NO
153,62,0.56,NO
154,45,0.73,NO
155,97,0.33,NO
156,476,0.62,NO
157,77,0.09,NO
158,69,0.0,NO
159,104,0.65,NO
160,115,0.23,NO
161,421,0.38,NO
162,61,0.58,NO
163,2009,0.47,NO
164,179,0.15,NO
165,106,0.06,NO
166,33,0.67,NO
167,657,0.44,NO
168,295,0.24,NO
169,872,0.67,NO
170,444,0.22,NO
171,168,0.58,NO
172,752,0.67,NO
173,135,0.22,NO
174,1126,0.27,NO
175,163,0.63,NO
176,184,0.49,NO
177,51,0.59,NO
178,25,0.37,NO
179,180,0.05,NO
180,64,0.0,NO
181,101,0.0,NO
182,512,0.3663333333333334,NO
183,187,0.24,NO
184,56,0.92,NO
185,39,0.84,NO
186,261,0.67,NO
187,73,0.01,NO
188,65,0.68,NO
189,329,0.14,NO
190,64,0.04,NO
191,164,0.11,NO
192,624,0.18899999999999997,NO
193,74,0.16,NO
194,117,0.28,NO
195,84,0.02,NO
196,226,0.02,NO
197,76,0.69,NO
198,323,0.38,NO
199,72,0.56,NO
200,42,0.3993333333333334,NO
201,48,0.45,NO
202,89,0.13,NO
203,380,0.096,NO
204,141,0.09,NO
205,148,0.37933333333333336,NO
206,191,0.13,NO
207,46,0.11,NO
208,165,0.05,NO
209,171,0.18333333333333335,NO
210,56,0.66,NO
211,179,0.536,NO
212,74,0.68,NO
213,36,0.38,NO
214,37,0.01,NO
215,34,0.01,NO
216,34,0.64,NO
217,38,0.59,NO
218,39,0.63,NO
219,156,0.38,NO
220,84,0.72,NO
221,117,0.67,NO
222,94,0.56,NO
223,71,0.24,NO
224,183,0.2,NO
225,85,0.56,NO
226,183,0.46,NO
227,70,0.46799999999999997,NO
228,54,0.2,NO
229,160,0.63,NO
230,128,0.58,NO
231,151,0.2,NO
232,422,0.165,NO
233,221,0.0,NO
234,50,0.21,NO
235,42,0.19,NO
236,624,0.01,NO
237,377,0.0,NO
238,382,0.16,NO
239,72,0.0,NO
240,92,0.02,NO
241,282,0.11,NO
242,371,0.05,NO
243,47,0.0,NO
244,108,0.22,NO
245,111,0.47,NO
246,319,0.01,NO
247,129,0.01,NO
248,49,0.32,NO
249,358,0.02,NO
250,277,0.01,NO
251,49,0.52,NO
252,89,0.69,NO
253,41,0.4,NO
254,66,0.09,NO
255,63,0.18,NO
