ID,Size,Predicted %,Actual value
0,215,0.1,NO
1,274,0.86,YES
2,461,0.93,YES
3,138,0.4558333333333332,NO
4,358,0.63,NO
5,1248,0.87,YES
6,51,0.01,NO
7,45,0.325,NO
8,157,0.0,NO
9,31,0.69,NO
10,1008,0.12,NO
11,55,0.32,YES
12,204,0.61,NO
13,55,0.98,YES
14,103,0.0,NO
15,83,0.41,NO
16,262,0.64,NO
17,83,0.0,NO
18,867,0.74,YES
19,40,0.0,NO
20,387,0.04,NO
21,390,0.67,YES
22,51,0.74,NO
23,637,0.48,NO
24,32,0.1,NO
25,68,0.0,NO
26,547,0.9,NO
27,566,0.005,NO
28,314,0.05,NO
29,839,0.20666666666666664,NO
30,211,0.03,NO
31,31,0.46,NO
32,50,0.02,NO
33,27,0.12,NO
34,175,0.23,NO
35,50,0.0,NO
36,62,0.01,NO
37,87,0.05,NO
38,52,0.29,NO
39,373,0.47,NO
40,224,0.11,NO
41,118,0.29,YES
42,83,0.62,YES
43,147,0.89,YES
44,58,0.68,YES
45,44,0.0,NO
46,106,0.0,NO
47,189,0.4266666666666667,NO
48,151,0.06,NO
49,352,0.0,NO
50,849,0.31,NO
51,877,0.33,YES
52,41,0.15,NO
53,319,0.09,NO
54,27,0.018,NO
55,55,0.03,NO
56,94,0.94,YES
57,191,0.93,YES
58,90,0.89,NO
59,90,0.75,YES
60,271,0.5,YES
61,152,0.20666666666666664,NO
62,90,0.36,YES
63,82,0.73,YES
64,147,0.84,NO
65,422,0.83,YES
66,1059,0.13,NO
67,530,0.08,NO
68,205,0.0,NO
69,190,0.28,NO
70,86,0.57,YES
71,207,0.0,NO
72,397,0.18,YES
73,573,0.0,NO
74,126,0.12166666666666666,NO
75,167,0.74,NO
76,109,0.49,NO
77,85,0.01,NO
78,237,0.76,NO
79,424,0.02,NO
80,47,0.02,NO
81,1118,0.61,NO
82,27,0.3,NO
83,89,0.0,NO
84,474,0.66,NO
85,166,0.77,NO
86,92,0.04,NO
87,476,0.02,NO
88,93,0.29,NO
89,244,0.16,NO
90,204,0.04333333333333334,NO
91,252,0.02,NO
92,109,0.0,NO
93,618,0.15666666666666668,NO
94,565,0.0,NO
95,69,0.0,NO
96,77,0.0,NO
97,97,0.01,NO
98,343,0.03,NO
99,214,0.08,NO
100,79,0.44,NO
101,25,0.22,NO
102,84,0.05,NO
103,34,0.02,NO
104,33,0.0,NO
105,104,0.01,NO
106,172,0.22,NO
107,70,0.025,NO
108,140,0.07,NO
109,156,0.39,NO
110,142,0.01,NO
111,152,0.89,YES
112,31,0.3,NO
113,60,0.05,NO
114,60,0.19,NO
115,876,0.58,NO
116,61,0.67,YES
117,185,0.73,NO
118,264,0.12,NO
119,43,0.02,NO
120,248,0.03,NO
121,310,0.89,YES
122,199,0.07,NO
123,194,0.18,NO
124,346,0.91,NO
125,90,0.66,NO
126,335,0.61,YES
127,372,0.21,NO
128,84,0.0,NO
129,53,0.0,NO
130,148,0.65,YES
131,4088,0.03,NO
132,860,0.01,NO
133,47,0.043333333333333335,NO
134,101,0.02,NO
135,517,0.045,NO
136,327,0.025,NO
137,275,0.6366666666666666,NO
138,136,0.026666666666666665,NO
139,56,0.53,NO
140,74,0.0,NO
141,362,0.04,NO
142,174,0.08,NO
143,148,0.4,YES
144,92,0.03,NO
145,45,0.0,NO
146,39,0.38,NO
147,182,0.04,NO
148,77,0.0,NO
149,666,0.08033333333333333,NO
150,88,0.0,NO
151,263,0.32,NO
152,54,0.19,NO
153,76,0.0,NO
154,132,0.0,NO
155,160,0.22,NO
156,152,0.07,NO
157,39,0.07,NO
158,677,0.14,NO
159,131,0.0,NO
160,47,0.0,NO
161,129,0.03,NO
162,43,0.01,NO
163,73,0.22,NO
164,257,0.05,NO
165,356,0.06,NO
166,62,0.0,NO
167,45,0.11,NO
168,97,0.125,NO
169,131,0.06,NO
170,68,0.2016666666666667,NO
171,99,0.115,NO
172,53,0.11,NO
173,81,0.15666666666666665,NO
174,78,0.07,NO
175,69,0.02,NO
176,69,0.06333333333333332,NO
177,77,0.0,NO
178,72,0.0,NO
179,72,0.15,NO
180,63,0.02,NO
181,50,0.07,NO
182,28,0.03,NO
183,96,0.03,NO
184,40,0.03,NO
185,76,0.0025,NO
186,49,0.10333333333333332,NO
187,63,0.03,NO
188,55,0.01,NO
189,45,0.15333333333333332,NO
190,476,0.0,NO
191,77,0.06,NO
192,69,0.08,NO
193,104,0.03,NO
194,115,0.0,NO
195,421,0.023333333333333334,NO
196,61,0.04,NO
197,2009,0.005,NO
198,179,0.02,NO
199,106,0.0,NO
200,33,0.0,NO
201,657,0.0,NO
202,295,0.06,NO
203,872,0.04,NO
204,444,0.5133333333333333,NO
205,168,0.42,NO
206,752,0.055,NO
207,135,0.0,NO
208,1126,0.0,NO
209,163,0.01,NO
210,184,0.0,NO
211,51,0.01,NO
212,25,0.0,NO
213,180,0.0,NO
214,64,0.005,NO
215,101,0.0,NO
216,512,0.0,NO
217,187,0.25659632034632035,NO
218,56,0.0025,NO
219,39,0.025,NO
220,261,0.02,NO
221,73,0.06,NO
222,65,0.04,NO
223,329,0.0,NO
224,64,0.01,NO
225,164,0.01,NO
226,624,0.01,NO
227,74,0.0,NO
228,117,0.0,NO
229,84,0.0,NO
230,226,0.055,NO
231,76,0.07,NO
232,323,0.11,NO
233,72,0.11,NO
234,42,0.0,NO
235,48,0.0,NO
236,89,0.11,NO
237,380,0.02,NO
238,141,0.31,NO
239,148,0.01,NO
240,191,0.05,NO
241,46,0.38,NO
242,165,0.01,NO
243,171,0.04,NO
244,56,0.0,NO
245,179,0.09,NO
246,74,0.0,NO
247,36,0.08,NO
248,37,0.01,NO
249,34,0.0,NO
250,34,0.06,NO
251,38,0.01,NO
252,39,0.0,NO
253,156,0.0,NO
254,84,0.0,NO
255,117,0.0,NO
256,94,0.0,NO
257,71,0.0,NO
258,183,0.03,NO
259,85,0.0,NO
260,183,0.01,NO
261,70,0.0,NO
262,54,0.0,NO
263,160,0.0,NO
264,128,0.02,NO
265,151,0.0,NO
266,422,0.0,NO
267,221,0.0,NO
268,50,0.01,NO
269,42,0.0,NO
270,624,0.0,NO
271,377,0.1,NO
272,382,0.08,NO
273,72,0.04,NO
274,92,0.0,NO
275,282,0.05,NO
276,371,0.04,NO
277,47,0.78,NO
278,108,0.1,NO
279,111,0.34,NO
280,319,0.065,NO
281,129,0.74,NO
282,49,0.01,NO
283,358,0.17166666666666663,NO
284,277,0.13,NO
285,49,0.5,NO
286,89,0.4541666666666667,NO
287,41,0.19141666666666662,NO
288,66,0.1625,NO
289,63,0.0,NO
290,24,0.0,NO
291,50,0.0,NO
292,72,0.04,NO
293,47,0.0,NO
294,47,0.0,NO
295,183,0.01,NO
296,49,0.6,NO
297,50,0.0,NO
298,98,0.0,NO
299,143,0.01,NO
300,43,0.0,NO
301,42,0.0,NO
302,56,0.0,NO
303,44,0.0,NO
304,26,0.06583333333333334,NO
305,254,0.045,NO
306,16883,0.02,NO
307,74,0.01,NO
308,153,0.0,NO
309,68,0.0,NO
310,100,0.0,NO
311,550,0.2383333333333333,NO
312,437,0.04,NO
313,1038,0.81,NO
314,104,0.04,NO
315,332,0.0,NO
316,123,0.01,NO
317,106,0.69,NO
318,106,0.28,NO
319,94,0.052000000000000005,NO
320,101,0.015,NO
321,38,0.0,NO
322,628,0.0,NO
323,32,0.02,NO
324,111,0.46,NO
325,35,0.0,NO
326,90,0.04,NO
327,27,0.0,NO
328,28,0.0,NO
329,92,0.2,NO
330,979,0.01,NO
331,67,0.0,NO
332,29,0.01,NO
333,105,0.0,NO
334,72,0.0,NO
335,37,0.71,NO
336,47,0.085,NO
337,31,0.0,NO
338,90,0.04,NO
339,223,0.0,NO
340,214,0.0,NO
341,107,0.0,NO
342,37,0.11,NO
343,27,0.0,NO
344,48,0.0,NO
345,167,0.0,NO
346,213,0.0,NO
347,867,0.02,NO
348,159,0.0,NO
349,100,0.2366666666666667,NO
350,96,0.0,NO
351,842,0.0,NO
352,535,0.02,NO
353,83,0.0,NO
354,63,0.06,NO
355,76,0.0,NO
356,202,0.45,NO
357,155,0.01,NO
358,1263,0.0225,NO
359,74,0.03,NO
360,101,0.09,NO
361,27,0.0,NO
362,22,0.0,NO
363,491,0.1,NO
364,62,0.095,NO
365,59,0.055,NO
366,99,0.01,NO
367,27,0.0775,NO
368,77,0.01,NO
369,863,0.0,NO
370,64,0.02,NO
371,45,0.13,NO
372,63,0.01,NO
373,54,0.0,NO
374,64,0.0,NO
375,132,0.0,NO
376,182,0.28,NO
