ID,Size,Predicted %,Actual value
0,28,0.0,NO
1,28,0.0,NO
2,387,0.21,YES
3,1087,0.66,YES
4,25,0.0,NO
5,50,0.02,NO
6,76,0.76,NO
7,38,0.69,NO
8,168,0.04,NO
9,267,0.41,NO
10,374,0.25,NO
11,145,0.07,NO
12,85,0.63,YES
13,64,0.56,YES
14,36,0.1,YES
15,36,0.01,NO
16,36,0.0,NO
17,26,0.33,NO
18,491,0.06,NO
19,354,0.2,NO
20,196,0.0,NO
21,24,0.01,NO
22,27,0.6,NO
23,55,0.02,NO
24,54,0.02,NO
25,26,0.15,NO
26,187,0.02,NO
27,983,0.09,NO
28,252,0.29,NO
29,620,0.06,NO
30,37,0.03,NO
31,35,0.1,NO
32,286,0.11,NO
33,232,0.1,NO
34,203,0.31,NO
35,270,0.31,NO
36,425,0.03,NO
37,244,0.01,NO
38,74,0.38,NO
39,69,0.05,NO
40,228,0.01,NO
41,231,0.08,NO
42,202,0.08,NO
43,99,0.01,NO
44,191,0.09,NO
45,447,0.49,NO
46,95,0.15,NO
47,549,0.22,NO
48,136,0.12,NO
49,40,0.18,NO
50,86,0.14,NO
51,90,0.02,NO
52,79,0.33,NO
53,85,0.0,NO
54,59,0.07,NO
55,112,0.01,NO
56,52,0.03,NO
57,157,0.6,YES
58,74,0.39,YES
59,230,0.06,YES
60,211,0.25,NO
61,55,0.24,YES
62,29,0.19,NO
63,111,0.0,NO
64,98,0.7,YES
65,43,0.38,YES
66,54,0.39,YES
67,205,0.35,NO
68,121,0.02,YES
69,107,0.01,NO
70,74,0.03,NO
71,76,0.08,YES
72,412,0.31,NO
73,146,0.44,YES
74,125,0.01,NO
